hour_of_day,day_of_week,severity_numeric,source_type_numeric,src_bytes,dst_bytes,event_freq_1m,protocol,dst_port,threat_intel_flag,duration,same_srv_rate,diff_srv_rate,serror_rate,rerror_rate,count,srv_count,dst_host_count,dst_host_srv_count,label
14.0,5.0,1.0,1.0,22.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2.0,5.0,0.0,5.0,10.0,0.0,0.0,17.0,53.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
8.0,1.0,0.0,8.0,3.0,0.0,0.0,6.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
16.0,4.0,0.0,5.0,10.0,0.0,0.0,17.0,53.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
23.0,1.0,1.0,10.0,9.0,44.0,60.0,6.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,4.0,4.0,154.0,6.0,1
16.0,5.0,1.0,3.0,364.0,16744.0,200.33121427426678,6.0,64551.0,0.0,0.299504,0.7379244592522443,0.26207554074775574,0.3485616422764296,0.018196814077127383,456.5540666515,337.0,2.1959513994175257,2.002319891387812,1
15.0,3.0,0.0,10.0,345.0,515.0,0.0,6.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,7.0,8.0,255.0,255.0,0
10.0,4.0,0.0,8.0,276.0,0.0,0.0,6.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
11.0,3.0,0.0,3.0,484.0,268.0,249.9458450669022,6.0,179.0,0.0,0.240052,0.3163665463846925,0.6836334536153075,0.010892821282268837,0.0017123218691513062,11.113225071576279,4.0,1.2850686829305833,1.0,1
23.0,1.0,0.0,1.0,93.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
3.0,2.0,0.0,1.0,97.0,0.0,0.0,6.0,8020.0,0.0,4419.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
9.0,2.0,1.0,10.0,1480.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,3.0,3.0,151.0,1
19.0,3.0,0.0,8.0,55.0,0.0,0.0,6.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
23.0,1.0,0.0,5.0,10.0,0.0,0.0,17.0,53.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
1.0,5.0,0.0,5.0,10.0,0.0,0.0,17.0,53.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
11.0,3.0,0.0,8.0,3.0,0.0,0.0,6.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
14.0,2.0,0.0,1.0,107.0,0.0,0.0,6.0,8020.0,0.0,34429.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0.0,4.0,1.0,9.0,842.0,2997.0,67.64374295377678,6.0,443.0,0.0,0.887,0.9704191610417258,0.029580838958274236,0.3950534375639242,0.0075108693469736,274.29220604662885,266.0,1.0,1.141051647234557,1
9.0,0.0,2.0,1.0,85.0,0.0,0.0,6.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
13.0,3.0,1.0,9.0,309.0,555.0,62.63048016701462,6.0,21.0,0.0,0.958,0.5723122174014998,0.42768778259850015,0.002734748879051059,0.005771154288953509,19.129087196970737,11.0,1.4059412429625107,1.501418196118883,1
10.0,5.0,0.0,1.0,71.0,0.0,0.0,6.0,8020.0,0.0,2222.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
12.0,4.0,0.0,2.0,327.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
9.0,6.0,1.0,1.0,63.0,0.0,0.0,6.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
14.0,4.0,0.0,1.0,96.0,0.0,0.0,6.0,8020.0,0.0,33895.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
9.0,2.0,1.0,9.0,215.0,568.0,48.8599348534202,6.0,21.0,0.0,1.228,0.4914992596382414,0.5085007403617585,0.00302395572836004,0.016031368508753464,5.039084491211086,2.0,1.5760497872040853,1.309491778114381,1
13.0,0.0,1.0,9.0,0.0,0.0,2.387695916419182,6.0,80.0,0.0,25.128828,0.8665966555709377,0.13340334442906232,0.8656183172550191,0.006364177198971279,329.57363077862846,286.0,2.434206537764443,1.3686991771739705,1
8.0,2.0,1.0,9.0,552.0,336.0,39.473684210526315,6.0,111.0,0.0,1.52,0.08683396312729433,0.9131660368727057,0.001480420363747398,0.000255055437359125,41.258476469388754,4.0,68.75213609116585,1.6025128779545552,1
2.0,3.0,1.0,10.0,10389.0,0.0,0.0,6.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,6.0,6.0,164.0,116.0,0
13.0,3.0,1.0,9.0,114.0,0.0,0.0,17.0,53.0,0.0,0.0,0.5218652237722295,0.47813477622777045,0.0012385910105518778,0.013982891113002357,7.798893772943232,4.0,3.456996867452566,1.0,1
18.0,2.0,2.0,9.0,106.0,298.0,0.6444106281613846,6.0,53.0,0.0,93.108334,0.7308495873552433,0.2691504126447567,0.0014868908002609559,0.009013963804952644,1.6545814752521744,1.0,2.834792062020107,2.0138788538856716,0
7.0,0.0,2.0,1.0,98.0,0.0,0.0,6.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
17.0,3.0,0.0,2.0,854.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
9.0,0.0,0.0,1.0,63.0,0.0,0.0,6.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0.0,6.0,3.0,8.0,39.0,0.0,0.0,6.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
6.0,6.0,0.0,1.0,14.0,0.0,0.0,6.0,8020.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
15.0,0.0,0.0,8.0,3.0,0.0,0.0,6.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
10.0,1.0,0.0,1.0,62.0,0.0,0.0,6.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
21.0,1.0,1.0,10.0,1032.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,511.0,511.0,197.0,52.0,1
11.0,3.0,2.0,1.0,113.0,0.0,0.0,6.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
3.0,1.0,1.0,10.0,1.0,0.0,0.0035077462730195848,6.0,0.0,0.0,17105.0,1.0,0.0,0.0,1.0,2.0,2.0,255.0,2.0,1
17.0,6.0,-0.0,8.0,48.0,0.0,0.0,6.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
9.0,1.0,0.0,1.0,61.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
17.0,3.0,1.0,9.0,37594.0,3380.0,1463.4146341463413,6.0,25.0,0.0,0.041,0.9112924614682181,0.08870753853178193,0.023729161565791565,0.001388671223102912,1.5871006590948034,1.0,1.0,1.4381716234662316,0
15.0,2.0,0.0,8.0,3.0,0.0,0.0,6.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
9.0,0.0,0.0,8.0,3.0,0.0,0.0,6.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
8.0,1.0,-0.0,8.0,55.0,0.0,0.0,6.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
22.0,5.0,0.0,5.0,10.0,0.0,0.0,17.0,53.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
20.0,3.0,3.0,1.0,95.0,0.0,0.0,6.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
12.0,4.0,0.0,1.0,76.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
3.0,5.0,0.0,5.0,10.0,0.0,0.0,17.0,53.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
20.0,3.0,1.0,3.0,1200.0,2894.0,30.716492913705082,6.0,143.0,0.0,1.953348,0.6169773872856227,0.3830226127143773,0.82651821165142,0.023842984459965307,118.75949854824405,73.0,3.132152154494064,1.0,1
7.0,2.0,0.0,9.0,12014.0,256.0,164.38356164383563,6.0,80.0,0.0,0.365,0.4588307977082459,0.541169202291754,0.0234863376258452,0.007151166467543558,5.6801658202917436,3.0,2.415960260729326,1.5610639640492985,1
14.0,1.0,1.0,9.0,44.0,0.0,60000.0,6.0,3000.0,0.0,0.001,0.7802934434618355,0.2197065565381645,0.0067741312853724514,0.013061399624946828,2.125699492569095,2.0,1.613336363157043,1.1886035116931821,0
4.0,2.0,1.0,9.0,104.0,0.0,0.0,17.0,520.0,0.0,0.0,0.36925556977768037,0.6307444302223196,0.012769929097662683,0.03348287315296966,15.745710907897136,6.0,1.5665923219578985,1.0,1
7.0,2.0,1.0,9.0,2487.0,3500.0,606.060606060606,6.0,21.0,0.0,0.099,0.9203668422129523,0.07963315778704771,7.163223926951922e-05,0.00043708130438050656,2.00396775635439,2.0,1.1152735138248502,1.5206209664729229,0
9.0,1.0,0.0,3.0,146.0,178.0,52956.7519858782,17.0,53.0,0.0,0.001133,0.8547439026749163,0.1452560973250837,0.007735667497687206,0.012208734165197545,2.4210623302820964,2.0,2.001998548752851,1.1153594584756352,0
14.0,3.0,1.0,9.0,206.0,348.0,4.4756129445169455,6.0,53.0,0.0,13.405985,0.9746224985310464,0.025377501468953567,0.025682365467142053,0.0010799591835727244,1.0478704924817952,1.0,1.9262429968555044,1.0,0
12.0,4.0,2.0,3.0,114.0,0.0,1000000.0,17.0,53.0,0.0,5e-06,0.37286048562383145,0.6271395143761685,0.007172399336041717,0.023334422416478297,20.742182142839077,8.0,2.185358950085796,1.912058868587414,1
0.0,2.0,0.0,8.0,48.0,0.0,0.0,6.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
15.0,4.0,0.0,5.0,10.0,0.0,0.0,17.0,53.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
11.0,6.0,1.0,9.0,12.0,0.0,11.514084892196502,6.0,80.0,0.0,5.211009,0.7348304751874388,0.2651695248125612,0.030425824953611524,0.003925470047692377,3.02482833281744,2.0,5.024766970493578,2.04057506445064,0
3.0,3.0,1.0,1.0,61.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
10.0,5.0,1.0,3.0,5848.0,462.0,110.0168509143317,6.0,21.0,0.0,0.545371,0.8239153295191534,0.17608467048084664,0.6053536005706224,0.014974629956591861,450.5477332659927,371.0,1.7074031236979688,1.5721408830293637,1
8.0,2.0,1.0,9.0,641.0,695.0,30.97573567372225,6.0,21.0,0.0,1.937,0.4154903006581161,0.5845096993418839,0.010219052444626236,0.00785101591758836,3.091958900224114,1.0,1.2666044001331278,1.2465515953342743,1
12.0,3.0,2.0,9.0,146.0,178.0,60000.0,17.0,53.0,0.0,0.001,0.8965462784125865,0.1034537215874135,0.02115780008047437,0.019200014644999788,1.9892581453241767,2.0,2.181551650024402,1.9361979468960797,0
19.0,6.0,1.0,9.0,6.0,6.0,1000000.0,6.0,51598.0,0.0,5.4e-05,0.3913843976388084,0.6086156023611916,0.015666164446588637,0.00967208655637381,5.096846862473445,2.0,1.4629533855629977,1.2364142717697972,1
19.0,0.0,0.0,8.0,3.0,0.0,0.0,6.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
12.0,2.0,3.0,1.0,83.0,0.0,0.0,6.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
18.0,6.0,0.0,2.0,420.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
18.0,2.0,0.0,8.0,66.0,0.0,0.0,6.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
13.0,6.0,0.0,8.0,48.0,0.0,0.0,6.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
12.0,5.0,0.0,2.0,1156.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
3.0,1.0,1.0,10.0,54540.0,8314.0,0.0,6.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,2.0,1.0,1.0,1
13.0,4.0,0.0,2.0,1112.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0.0,4.0,1.0,9.0,329.0,0.0,60000.0,6.0,60176.0,0.0,0.001,0.7999066591606184,0.20009334083938157,0.007729668647593839,0.01783946380268792,2.0675799175665257,2.0,1.0,1.0,0
22.0,3.0,1.0,9.0,112.0,60.0,60000.0,6.0,443.0,0.0,0.001,0.6508925957514331,0.3491074042485669,0.603618772027325,0.04537642635579538,195.36938619465147,127.0,1.0,1.4744794324841302,1
3.0,1.0,1.0,9.0,4.0,0.0,1000000.0,6.0,545.0,0.0,4e-06,0.9735927234476879,0.02640727655231212,0.029169351383982522,0.008839721615607766,1.8821450925743402,2.0,1.390634883883186,1.6092015402816433,0
17.0,4.0,0.0,8.0,3.0,0.0,0.0,6.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
13.0,1.0,2.0,9.0,64.0,176.0,659.5798476370552,6.0,53.0,0.0,0.090967,0.9360953822322989,0.06390461776770107,0.0036063636641658326,0.012322443388473046,1.383272744906142,1.0,1.9257492357348422,1.0,0
8.0,1.0,1.0,3.0,2048.0,2514.0,7858.546168958743,6.0,5190.0,0.0,0.007635,0.6920516956527398,0.30794830434726017,0.0005672886217763312,0.022554747663638474,2.591509014984104,2.0,4.249101465523591,1.4859493303148044,0
16.0,6.0,0.0,1.0,14.0,0.0,0.0,6.0,8020.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
21.0,4.0,0.0,5.0,10.0,0.0,0.0,17.0,53.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
22.0,3.0,2.0,9.0,112.0,60.0,15000.0,6.0,80.0,0.0,0.004,0.9791290610877003,0.02087093891229974,0.8098470426193825,0.020356301244815196,407.3567049501563,399.0,2.910392861867667,1.6504822719491887,1
18.0,1.0,0.0,1.0,10.0,0.0,0.0,6.0,8020.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
18.0,6.0,0.0,1.0,10.0,0.0,0.0,6.0,8020.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
15.0,6.0,3.0,1.0,109.0,0.0,0.0,6.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
